Total Judge,Barcode,Model,Lot,Line,Serial,Station,Date,Time,Press adj kashime,Kashime Bef judg,Kashime Bef Press,Kashime Aft judg,Kashime Aft Press,Kashime judg,Kashime Press,Kashime Bef Curr judg,Kashime Bef Curr,Consumption flow rate,SP(kPa)Judge,SP(kPa)Result,Cur(mA)Result,F(mL/min)Judge,F(mL/min)Result,Cur(mA)Result,Repeat 1,Respone up on 1,ChangTJudge 1,ChangTResult 1,ConvTJudge 1,ConvTResult 1,Repeat 2,Respone down off 2,ChangTJudge 2,ChangTResult2,ConvTJudge2,ConvTResult2,Repeat 3,Respone down off 3,ChangTJudge 3,ChangTResult 3,ConvTJudge 3,ConvTResult 3,Repeat 4,STEP Respone 4,ChangT1Judge 4,ChangT1Result 4,ConvT1Judge 4,ConvT1Result 4,ChangT2Judge 4,ChangT2Result 4,ConvT2Judge 4,ConvT2Result 4,ChangT3Judge 4,ChangT3Result 4,ConvT3Judge 4,ConvT3Result 4,ChangT4Judge 4,ChangT4Result 4,ConvT4Judge 4,ConvT4Result 4,ChangT5Judge 4,ChangT5Result 4,ConvT5Judge 4,ConvT5Result 4,ChangT6Judge 4,ChangT6Result 4,ConvT6Judge 4,ConvT6Result 4,ChangT7Judge 4,ChangT7Result 4,ConvT7Judge 4,ConvT7Result 4,ChangT8Judge 4,ChangT8Result 4,ConvT8Judge 4,ConvT8Result 4,ChangT9Judge 4,ChangT9Result 4,ConvT9Judge 4,ConvT9Result 4,Repeat 5,STEP Respone 5,ChangT1Judge 5,ChangT1Result 5,ConvT1Judge 5,ConvT1Result 5,ChangT2Judge 5,ChangT2Result 5,ConvT2Judge 5,ConvT2Result 5,ChangT3Judge 5,ChangT3Result 5,ConvT3Judge 5,ConvT3Result 5,ChangT4Judge 5,ChangT4Result 5,ConvT4Judge 5,ConvT4Result 5,ChangT5Judge 5,ChangT5Result 5,ConvT5Judge 5,ConvT5Result 5,ChangT6Judge 5,ChangT6Result 5,ConvT6Judge 5,ConvT6Result 5,ChangT7Judge 5,ChangT7Result 5,ConvT7Judge 5,ConvT7Result 5,ChangT8Judge 5,ChangT8Result 5,ConvT8Judge 5,ConvT8Result 5,ChangT9Judge 5,ChangT9Result 5,ConvT9Judge 5,ConvT9Result 5,IP Go,[200mA]Judge Go,[200mA]Result Go,[230mA]Judge Go,[230mA]Result Go,[280mA]Judge Go,[280mA]Result Go,[1000mA]Judge Go,[1000mA]Result Go,[1060mA]Judge Go,[1060mA]Result Go,IP Go Repeat,IP Back,[200mA]Judge Back,[200mA]Result Back,[230mA]Judge Back,[230mA]Result Back,[280mA]Judge Back,[280mA]Result Back,[1000mA]Judge Back,[1000mA]Result Back,Hys,[200mA]Judge hys,[200mA]Result hys,[230mA]Judge hys,[230mA]Result hys,[280mA]Judge hys,[280mA]Result hys,HysMaxJudge,HysMaxResult,Hys Current(mA),StepUp,P(kPa)Judge,P(kPa)Result,Cur[GO]Judge,Cur[GO]Result,Vibrate wave,[200mA]Judge vibrate,[200mA]Result vibrate,[230mA]Judge vibrate,[230mA]Result vibrate,[280mA]Judge vibrate,[280mA]Result vibrate,[1000mA]Judge vibrate,[1000mA]Result vibrate
OK,A4401N5002,A,4401,N,5002,1,4/1/2024,6:32:50,OK,OK,174.9999,OK,175.8727,OK,1958.7946,OK,279.734,OK,OK,1925.3348,282,OK,0.3359,977,0,OK,OK,45,OK,35.3,0,OK,OK,42.47,OK,57.6,0,OK,OK,89.1,OK,88,0,OK,OK,82,OK,57.5,OK,65.4,OK,60.7,OK,59.7,OK,50.5,OK,65.6,OK,49.5,OK,67.1,OK,43.4,OK,66.3,OK,47.6,OK,66.5,OK,45.9,OK,64.1,OK,49.2,OK,63,OK,69,0,OK,OK,72.6,OK,51.4,OK,65.3,OK,59.6,OK,64,OK,49.9,OK,67.5,OK,46.8,OK,64.5,OK,39.4,OK,63.2,OK,44,OK,62.5,OK,45.8,OK,63.6,OK,45,OK,61.6,OK,67.8,OK,OK,3.9076,OK,64.5233,OK,175.1063,OK,1901.5474,OK,2001.5022,0,OK,OK,21.1212,OK,77.8222,OK,189.4648,OK,1902.6904,OK,OK,14.2136,OK,10.235,OK,12.3585,OK,19.4324,205,OK,OK,2.7885,OK,767,OK,OK,4.0855,OK,9.4725,OK,20.766,OK,28.7703
OK,A4401N5005,A,4401,N,5005,1,4/1/2024,6:35:18,OK,OK,173.3772,OK,171.3935,OK,1958.6371,OK,279.771,OK,OK,1909.5158,274,OK,0.5165,933,0,OK,OK,47.6,OK,36.1,0,OK,OK,46.25,OK,62.6,0,OK,OK,91.5,OK,90.5,0,OK,OK,60.1,OK,45.6,OK,60.1,OK,56.5,OK,58.4,OK,48.3,OK,56.8,OK,44.7,OK,58.1,OK,39.8,OK,65.6,OK,44.7,OK,60.3,OK,47.1,OK,62.8,OK,49.5,OK,64.9,OK,71.6,0,OK,OK,67.1,OK,46.3,OK,70.5,OK,62.6,OK,66.9,OK,52.9,OK,65.6,OK,47.7,OK,67.8,OK,40.7,OK,70.3,OK,50.2,OK,67.7,OK,47.1,OK,68.1,OK,46.1,OK,68.4,OK,73.7,OK,OK,2.6585,OK,58.3067,OK,170.361,OK,1885.3737,OK,1988.9732,0,OK,OK,20.8703,OK,76.6143,OK,186.4598,OK,1886.2462,OK,OK,15.2118,OK,14.8429,OK,14.0988,OK,25.6079,209,OK,OK,2.7855,OK,214,OK,OK,1.8476,OK,11.1809,OK,20.7149,OK,27.0668
OK,A4401N5008,A,4401,N,5008,1,4/1/2024,6:38:02,OK,OK,173.6577,OK,175.4827,OK,1956.5583,OK,280.5007,OK,OK,1920.9736,278,OK,0.3694,990,0,OK,OK,45.7,OK,34.9,0,OK,OK,41.66,OK,55.2,0,OK,OK,81.5,OK,80.7,0,OK,OK,53.3,OK,40.7,OK,58.6,OK,54.4,OK,58.9,OK,48.7,OK,56.1,OK,42.9,OK,54.9,OK,38.3,OK,54,OK,41.2,OK,54.7,OK,41.5,OK,53,OK,41.3,OK,57.9,OK,64.2,1,OK,OK,63.8,OK,46.4,OK,64.5,OK,58,OK,63.3,OK,47.6,OK,60.5,OK,43.9,OK,58.6,OK,39.4,OK,61,OK,43,OK,59.4,OK,43.3,OK,58.4,OK,43,OK,58,OK,64.1,OK,OK,4.4052,OK,59.515,OK,172.3712,OK,1898.0703,OK,2000.8103,0,OK,OK,22.4823,OK,77.5507,OK,188.3906,OK,1899.298,OK,OK,15.0771,OK,14.5928,OK,14.0194,OK,24.7426,210,OK,OK,3.2034,OK,150,OK,OK,2.0014,OK,13.1259,OK,23.3903,OK,23.8381
OK,A4401N5011,A,4401,N,5011,1,4/1/2024,6:40:14,OK,OK,174.0061,OK,172.8952,OK,1957.104,OK,276.0244,OK,OK,1939.7156,268,OK,0.4617,930,0,OK,OK,44.8,OK,35.3,0,OK,OK,43.64,OK,59.9,0,OK,OK,87.2,OK,85.1,0,OK,OK,62.8,OK,43.9,OK,63.9,OK,57.5,OK,62.5,OK,50.5,OK,63.9,OK,46.3,OK,66.8,OK,41,OK,65.2,OK,47.1,OK,66.1,OK,47.7,OK,67.2,OK,47,OK,61.8,OK,69.9,0,OK,OK,62.1,OK,43.6,OK,62.5,OK,56.4,OK,63,OK,50.6,OK,58.5,OK,44.2,OK,61.3,OK,39.2,OK,62.7,OK,42,OK,58.3,OK,43.6,OK,60.4,OK,42.9,OK,60.4,OK,66.1,OK,OK,5.2881,OK,62.8465,OK,173.6618,OK,1906.6119,OK,2004.3924,0,OK,OK,20.6274,OK,76.1632,OK,187.3022,OK,1905.5451,OK,OK,12.3393,OK,10.2514,OK,11.6404,OK,19.2581,207,OK,OK,2.905,OK,150,OK,OK,4.1143,OK,11.3242,OK,21.9503,OK,24.7827
OK,A4401N5016,A,4401,N,5016,1,4/1/2024,6:42:24,OK,OK,172.6389,OK,172.5596,OK,1955.5536,OK,282.624,OK,OK,1928.654,265,OK,0.3911,993,0,OK,OK,45.7,OK,34.8,0,OK,OK,42.74,OK,58.5,0,OK,OK,79.5,OK,78.8,0,OK,OK,64.8,OK,46.2,OK,63.8,OK,58.4,OK,63.5,OK,52.1,OK,65.5,OK,47.2,OK,63.6,OK,40,OK,63.1,OK,48.9,OK,62.6,OK,47.1,OK,63.7,OK,45.2,OK,61.7,OK,67.9,0,OK,OK,66.7,OK,47.9,OK,66.7,OK,60.9,OK,64.1,OK,49.9,OK,63.4,OK,46.6,OK,61.8,OK,38.3,OK,65.6,OK,45.3,OK,64,OK,44,OK,59.5,OK,44.1,OK,59.8,OK,64.8,OK,OK,3.2893,OK,59.7122,OK,170.3751,OK,1887.627,OK,1996.5828,0,OK,OK,18.3052,OK,74.6492,OK,185.0109,OK,1886.7739,OK,OK,12.0159,OK,11.742,OK,12.6358,OK,19.355,208,OK,OK,2.8247,OK,878,OK,OK,3.3738,OK,12.1011,OK,16.1419,OK,32.8749
OK,A4401N5017,A,4401,N,5017,1,4/1/2024,6:44:34,OK,OK,173.0789,OK,172.2061,OK,1956.5645,OK,282.7773,OK,OK,1928.2294,269,OK,0.3813,968,0,OK,OK,44.8,OK,35.4,0,OK,OK,43.01,OK,57.8,0,OK,OK,88.5,OK,87.6,0,OK,OK,63.2,OK,44.9,OK,62.8,OK,57.8,OK,61.2,OK,48.7,OK,59.2,OK,44.7,OK,62.5,OK,39.3,OK,66.9,OK,45.5,OK,66.5,OK,47.6,OK,63.7,OK,48.1,OK,62.9,OK,69.9,0,OK,OK,65.7,OK,45.6,OK,64.5,OK,58.4,OK,62.1,OK,50.3,OK,60.7,OK,45.2,OK,65.3,OK,37.4,OK,63.3,OK,44.9,OK,63.1,OK,46.6,OK,64.6,OK,43.7,OK,62.5,OK,67.8,OK,OK,2.6959,OK,56.8093,OK,166.6744,OK,1893.8943,OK,2002.8984,0,OK,OK,18.0939,OK,71.854,OK,181.7118,OK,1894.2507,OK,OK,12.398,OK,11.8412,OK,13.0374,OK,21.254,208,OK,OK,2.8304,OK,775,OK,OK,2.2593,OK,9.6293,OK,20.4561,OK,26.9224
OK,A4401N5021,A,4401,N,5021,1,4/1/2024,6:46:43,OK,OK,173.1721,OK,173.6482,OK,1957.1626,OK,276.3524,OK,OK,1919.7057,266,OK,0.4646,970,0,OK,OK,45.1,OK,35.7,0,OK,OK,42.65,OK,58,0,OK,OK,83.4,OK,82.4,0,OK,OK,62,OK,44.6,OK,58,OK,54.7,OK,56.1,OK,48.4,OK,53.6,OK,42.7,OK,51.4,OK,40.6,OK,53.8,OK,45.1,OK,53.3,OK,43.3,OK,55.3,OK,43.7,OK,59.5,OK,64.3,0,OK,OK,73.9,OK,50.1,OK,70.1,OK,62.5,OK,64,OK,48.6,OK,62.3,OK,44.2,OK,60.6,OK,40.4,OK,61.1,OK,42.6,OK,63.9,OK,44.5,OK,62.5,OK,46.4,OK,63.2,OK,69.1,OK,OK,3.028,OK,56.1658,OK,167.8167,OK,1885.2553,OK,1994.3295,0,OK,OK,15.6071,OK,70.7119,OK,182.5654,OK,1884.8263,OK,OK,9.5792,OK,11.3824,OK,12.7486,OK,19.7824,210,OK,OK,2.7981,OK,902,OK,OK,2.1631,OK,11.4412,OK,19.7462,OK,29.5948
OK,A4401N5023,A,4401,N,5023,1,4/1/2024,6:49:01,OK,OK,173.6716,OK,174.7825,OK,1956.5372,OK,278.8966,OK,OK,1923.6845,258,OK,0.4309,955,0,OK,OK,45.1,OK,34.8,0,OK,OK,44.27,OK,60.7,0,OK,OK,91.6,OK,90.3,0,OK,OK,68.1,OK,49.3,OK,67.1,OK,61.7,OK,65.7,OK,51.3,OK,64.3,OK,48.1,OK,66.3,OK,41.3,OK,69.5,OK,49.2,OK,66.7,OK,49.3,OK,68.3,OK,49.1,OK,67.8,OK,74.6,0,OK,OK,69.1,OK,47.5,OK,66.6,OK,61.2,OK,65.5,OK,52.3,OK,65.9,OK,47.7,OK,69.1,OK,41.5,OK,65.5,OK,47.9,OK,67.5,OK,48.1,OK,67.9,OK,45.7,OK,65.9,OK,72,OK,OK,4.3369,OK,62.8815,OK,171.6003,OK,1901.6331,OK,2004.7799,0,OK,OK,22.7215,OK,77.0172,OK,186.2736,OK,1901.6214,OK,OK,15.3846,OK,11.0049,OK,12.6733,OK,21.8504,205,OK,OK,2.7964,OK,-782,OK,OK,3.4343,OK,11.2884,OK,19.4881,OK,27.6645
OK,A4401N5026,A,4401,N,5026,1,4/1/2024,6:51:12,OK,OK,173.5324,OK,172.8182,OK,1955.5771,OK,280.7889,OK,OK,1920.0796,258,OK,0.3458,984,0,OK,OK,45.9,OK,35.1,0,OK,OK,41.66,OK,55.4,0,OK,OK,86.5,OK,85,0,OK,OK,65.2,OK,47.1,OK,61.7,OK,56.5,OK,59.7,OK,49.2,OK,56.9,OK,43.5,OK,56.7,OK,41.2,OK,51.1,OK,42.4,OK,49.1,OK,40.8,OK,48.2,OK,41,OK,59.2,OK,63.8,0,OK,OK,66.5,OK,48.1,OK,66.7,OK,61.2,OK,62.1,OK,49.6,OK,62.5,OK,44.7,OK,62.1,OK,41.4,OK,59,OK,45.2,OK,60.7,OK,44.8,OK,61.1,OK,44,OK,59.1,OK,64.1,OK,OK,3.8795,OK,60.891,OK,173.0066,OK,1895.5379,OK,2003.3034,0,OK,OK,19.9546,OK,75.9814,OK,187.6849,OK,1894.4304,OK,OK,13.075,OK,11.8832,OK,12.6783,OK,20.5177,207,OK,OK,2.8056,OK,772,OK,OK,5.714,OK,8.5635,OK,20.746,OK,22.297
OK,A4401N5029,A,4401,N,5029,1,4/1/2024,6:53:20,OK,OK,173.7363,OK,172.9428,OK,1956.6329,OK,282.2934,OK,OK,1922.3295,263,OK,0.4909,913,0,OK,OK,46.1,OK,35.4,0,OK,OK,47.96,OK,65.6,0,OK,OK,94.8,OK,93.5,0,OK,OK,71.2,OK,53.7,OK,69.9,OK,65.3,OK,66.7,OK,54.9,OK,65.6,OK,50.2,OK,65.3,OK,42.8,OK,60.4,OK,48.1,OK,58.2,OK,47.2,OK,58.4,OK,42.9,OK,64.7,OK,72.5,0,OK,OK,84.9,OK,56.7,OK,81.7,OK,74.5,OK,74.8,OK,58.6,OK,67.7,OK,50,OK,65.5,OK,42.1,OK,67.9,OK,46.4,OK,65.9,OK,50,OK,64.9,OK,48.3,OK,71.7,OK,79.2,OK,OK,2.7423,OK,54.8281,OK,169.8345,OK,1905.2125,OK,2007.1001,0,OK,OK,13.885,OK,70.7827,OK,185.4169,OK,1906.0106,OK,OK,8.1427,OK,12.6783,OK,13.5824,OK,25.1121,213,OK,OK,3.3716,OK,218,OK,OK,1.1648,OK,12.3315,OK,13.2944,OK,29.1778
